,name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area
313,2 beds 2 baths house,3000,"west kelowna, bc, v1z",House,2,2,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,1200
314,gorgeous 3 bedroom lakefront cottage for rent,1900,"central okanagan, bc, v1z 3w8",House,3,2,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,1350
315,2 beds 1 bath house,1800,"lake country, bc, v4v 2p2",House,2,1,in-unit laundry,Not specified,street parking,Not specified,Not specified,No pets,1200
316,3 beds 3 baths house,3800,"kelowna, bc, v1w 4s9",House,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1944
317,3 beds 2 baths house,2600,"kelowna, bc",House,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1200
318,2 beds 2 baths apartment,900,"vernon, bc",Apartment/Condo,2,2,laundry in building,heating available,Not specified,Not specified,unfurnished,No pets,932
319,4 beds 1 5 baths house,3500,"kelowna, bc",House,4,1,in-unit laundry,gas heating,garage parking,ac available,unfurnished,dog and cat friendly,1700
320,2 beds 1 bath house,1875,"kelowna, bc",House,2,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,dog and cat friendly,1200
321,2 beds 1 bath house,2100,"west kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,cat friendly,1200
322,2 beds 1 bath house,950,"vernon, bc",House,2,1,Not specified,Not specified,street parking,Not specified,unfurnished,No pets,1200
323,1 bedroom 1 bath,1500,"central okanagan, bc, v1x 6l8",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
324,2 beds 2 baths apartment,1950,"kelowna, bc, v1v 2w6",Apartment/Condo,2,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
325,2 beds 1 bath house,2300,"kelowna, bc, v1v 0c9",House,2,1,in-unit laundry,electric heating,street parking,Not specified,unfurnished,No pets,931
326,3 beds 2 baths house,2700,"central okanagan, bc, v1z 3s4",House,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,2000
327,2 beds 2 baths apartment,1900,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,central ac,Not specified,No pets,800
328,1 bed 1 bath house,1975,"kelowna, bc",House,1,1,in-unit laundry,electric heating,parking available,Not specified,unfurnished,No pets,1200
329,2 beds 1 bath house,1975,"kelowna, bc, v1p 1b2",House,2,1,in-unit laundry,gas heating,street parking,central ac,Not specified,cat friendly,1113
330,1 bed 1 bath house,775,"penticton, bc",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,1200
331,1 bed 1 bath house,1275,"vernon, bc",House,1,1,laundry available,electric heating,street parking,central ac,unfurnished,cat friendly,650
332,4 beds 3 baths house,6600,"west kelowna, bc, v1z 4b7",House,4,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,4000
333,3 beds 2 baths townhouse,2900,"west kelowna, bc, v4t",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1371
334,private room for rent in large house,750,"vernon, bc",House,5,3,in-unit laundry,central heating,Not specified,central ac,unfurnished,No pets,1200
335,1 bed 1 bath house,1450,"kelowna, bc",House,1,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1200
336,4 beds 3 baths house,3650,"lake country, bc, v4v 2n6",House,4,3,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,1200
337,2 beds 1 bath apartment,1800,"vernon, bc, v1t 5x1",Apartment/Condo,2,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,800
338,fully furnished one bedroom for rent,1000,"vernon, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1100
339,1 bed 1 bath apartment,1300,"penticton, bc, v2a 7j6",Apartment/Condo,1,1,laundry in building,electric heating,parking available,ac available,unfurnished,No pets,932
340,2 beds 1 bath house,1850,"west kelowna, bc",House,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1200
341,private room for rent,1000,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,932
342,3 beds 1 5 baths house,2850,"kelowna, bc",House,3,1,laundry in building,central heating,parking available,Not specified,unfurnished,dog and cat friendly,1200
343,2 bed 2 bath west kelowna,1850,"west kelowna, bc, v4t 2h8",Apartment/Condo,2,2,in-unit laundry,electric heating,parking available,Not specified,unfurnished,dog and cat friendly,932
344,3 beds 2 baths townhouse,3300,"kelowna, bc",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1150
345,1 bed 1 bath house,850,"okanagan-similkameen, bc, v2a 8v5",House,1,1,laundry available,electric heating,parking available,central ac,unfurnished,dog and cat friendly,4000
346,3 beds 2 baths townhouse,2400,"vernon, bc",Townhouse,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,dog friendly,1371
347,4 beds 4 baths house,4000,"kelowna, bc, v1v 2n1",House,4,4,in-unit laundry,heating available,garage parking,ac available,unfurnished,cat friendly,3500
348,4 beds 2 5 baths house,3800,"west kelowna, bc, v4t",House,4,2,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,2500
349,2 beds 2 baths apartment,1000,"kelowna, bc, v1v 0a2",Apartment/Condo,2,2,in-unit laundry,heating available,Not specified,ac available,Not specified,No pets,932
350,3 beds 2 baths house,2200,"lumby, bc, v0e",House,3,2,in-unit laundry,central heating,street parking,Not specified,Not specified,No pets,1200
351,2 beds 1 bath house,1850,"kelowna, bc, v1w 5l5",House,2,1,in-unit laundry,gas heating,street parking,central ac,Not specified,No pets,835
352,private room for rent,650,"peachland, bc",House,1,1,laundry available,heating available,street parking,Not specified,furnished,No pets,1200
353,2 beds 2 baths apartment,2650,"kelowna, bc, v1w 0b3",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog friendly,880
354,3 beds 2 5 baths townhouse,2500,"penticton, bc",Townhouse,3,2,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1700
355,2 beds 2 baths apartment,1950,"west kelowna, bc, v1z",Apartment/Condo,2,2,in-unit laundry,heating available,street parking,ac available,Not specified,No pets,932
356,2 beds 2 baths townhouse,1875,"penticton, bc, v2a 6y3",Townhouse,2,2,in-unit laundry,electric heating,parking available,Not specified,Not specified,No pets,1371
357,2 beds 2 baths townhouse,1500,"kootenay boundary, bc",Townhouse,2,2,in-unit laundry,electric heating,parking available,ac available,unfurnished,No pets,1371
358,2 beds 1 bath apartment,1800,"lake country, bc, v4v 1y1",Apartment/Condo,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
359,2 beds 1 bath house,1850,"kelowna, bc",House,2,1,in-unit laundry,electric heating,street parking,Not specified,unfurnished,No pets,1200
360,1 bed 1 bath apartment,2240,"kelowna, bc, v1y 2e4",Apartment/Condo,1,1,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,523
361,lower suit for rent,1500,"west kelowna, bc, v4t 3m6",House,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200
362,room in shared acomm available,850,"north okanagan, bc, v1b 3m6",House,2,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
363,4 beds 3 baths house,900,"kelowna, bc, v1w 4l8",House,4,3,laundry in building,central heating,street parking,central ac,Not specified,No pets,1200
364,private room for rent,1200,"kelowna, bc",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
365,1 bed 1 bath house,1000,"kelowna, bc",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
366,studio 0 baths house,550,"penticton, bc",House,1,0,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
367,1 bed 1 bath room only,975,"kelowna, bc, v1x 5y7",House,1,1,Not specified,central heating,street parking,central ac,unfurnished,No pets,1200
368,2 beds 1 bath house,1900,"vernon, bc",House,2,1,Not specified,Not specified,street parking,Not specified,unfurnished,No pets,1200
369,1 bed 1 bath apartment,1200,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,Not specified,ac available,Not specified,No pets,932
370,1 bed 1 bath house,650,"peachland, bc",House,1,1,Not specified,Not specified,street parking,Not specified,unfurnished,No pets,1200
371,2 beds 1 bath house,1800,"west kelowna, bc, v4t 2b4",House,2,1,in-unit laundry,gas heating,parking available,central ac,Not specified,dog and cat friendly,950
372,3 beds 3 baths townhouse,2600,"penticton, bc",Townhouse,3,3,laundry in building,central heating,garage parking,ac available,unfurnished,No pets,1300
373,1 bed 1 bath apartment,1200,"summerland, bc, v0h",Apartment/Condo,1,1,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,932
374,2 beds 2 5 baths townhouse,2400,"kelowna, bc, v1v",Townhouse,2,2,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,1371
375,3 beds 1 bath townhouse,2400,"vernon, bc",Townhouse,3,1,in-unit laundry,electric heating,street parking,ac available,Not specified,dog and cat friendly,1295
376,1 bed 1 bath house,900,"penticton, bc, v2a 3x8",House,1,1,laundry available,Not specified,street parking,Not specified,unfurnished,cat friendly,1200
377,private room for rent,850,"kelowna, bc",Townhouse,3,3,in-unit laundry,central heating,Not specified,central ac,furnished,No pets,1371
378,house for rent,3000,"kelowna, bc, v1y 4z9",House,2,1,laundry available,Not specified,garage parking,Not specified,unfurnished,dog and cat friendly,1200
379,1 bed 1 bath room only,1200,"kelowna, bc, v1v 1z3",Apartment/Condo,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,932
380,private room for rent,1150,"kelowna, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,furnished,No pets,1200
381,1 bed 1 bath apartment,1000,"penticton, bc, v2a",Apartment/Condo,1,1,Not specified,electric heating,Not specified,ac available,unfurnished,No pets,932
382,3 beds 1 bath house,2300,"vernon, bc",House,3,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200
383,3 beds 3 baths house,4100,"peachland, bc, v0h 1x5",House,3,3,in-unit laundry,heating available,street parking,ac available,unfurnished,dog friendly,1200
384,3 beds 3 baths house,3300,"kelowna, bc, v1w 4p2",House,3,3,in-unit laundry,central heating,street parking,central ac,Not specified,dog and cat friendly,2500
385,2 beds 1 bath house,1700,"lake country, bc",House,2,1,laundry available,heating available,parking available,Not specified,unfurnished,No pets,1200
386,5 beds 2 baths house,450,"kelowna, bc, v1x 5n2",House,5,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200
387,2 beds 2 baths house,2000,"kelowna, bc, v1p",House,2,2,in-unit laundry,electric heating,parking available,Not specified,Not specified,No pets,1200
388,4 beds 4 baths house,10800,"kelowna, bc, v1y",House,4,4,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,3300
389,3 beds 2 baths house,2800,"peachland, bc",House,3,2,laundry in building,central heating,parking available,central ac,unfurnished,No pets,1200
390,2 beds 1 bath house,1600,"vernon, bc, v1t 3x1",House,2,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,1200
391,3 beds 2 5 baths house,4500,"kelowna, bc, v1x 4v2",House,3,2,in-unit laundry,heating available,parking available,ac available,unfurnished,No pets,1200
392,3 beds 3 baths house,3200,"kelowna, bc, v1v 2a2",House,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1200
393,1 bed 1 bath house,1900,"kelowna, bc",House,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,900
394,2 beds 2 baths apartment,1200,"kelowna, bc, v1v",Apartment/Condo,2,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,932
395,1 bed 1 bath townhouse,1500,"penticton, bc, v2a",Townhouse,1,1,in-unit laundry,electric heating,street parking,ac available,Not specified,dog and cat friendly,600
396,3 beds 2 baths house,2400,"vernon, bc",House,3,2,in-unit laundry,electric heating,street parking,central ac,unfurnished,No pets,7000
397,3 beds 3 baths house,3500,"kelowna, bc, v1w 4p4",House,3,3,in-unit laundry,central heating,parking available,central ac,unfurnished,dog friendly,1200
398,1 bed 1 bath house,800,"west kelowna, bc",House,1,1,laundry available,Not specified,parking available,ac available,unfurnished,No pets,1200
399,2 beds 1 5 baths house,2500,"vernon, bc, v1t 3j5",House,2,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,1160
400,4 beds 2 baths house,2495,"penticton, bc, v2a 4w8",House,4,2,laundry available,electric heating,parking available,ac available,Not specified,cat friendly,1200
401,3 beds 2 baths apartment,1000,"kelowna, bc, v1v 3c9",Apartment/Condo,3,2,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,cat friendly,932
402,room for rent,900,"west kelowna, bc, v1z 2k5",House,3,1,in-unit laundry,central heating,parking available,Not specified,unfurnished,No pets,1200
403,5 beds 3 baths house,2500,"summerland, bc",House,5,3,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200
404,executive rental 2 brm plus loft,2350,"vernon, bc, v1t 3j2",House,3,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1200
405,home in la casa for rent,2250,"central okanagan, bc, v1z 3r8",House,3,2,in-unit laundry,gas heating,parking available,central ac,unfurnished,dog friendly,1160
406,rooms for rent,1400,"kelowna, bc, v1x 8h3",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
407,2 beds 1 bath apartment,2000,"kelowna, bc, v1p 1s5",Apartment/Condo,2,1,in-unit laundry,electric heating,street parking,Not specified,unfurnished,No pets,932
408,private room for rent,1000,"vernon, bc",Apartment/Condo,1,2,Not specified,Not specified,Not specified,Not specified,furnished,No pets,932
409,5 beds 4 baths house,5000,"kelowna, bc",House,5,4,laundry available,central heating,garage parking,central ac,unfurnished,No pets,4000
410,2 bed 1 bath house,1775,"west kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,dog and cat friendly,1200
411,2 beds 1 bath house,1590,"west kelowna, bc, v4t 3n3",House,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,800
412,2 beds 1 bath house,1950,"peachland, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,1200
413,feb march availability at big white  sleeps 12  w private hot tub sauna  5 bedrooms  bbq,900,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1100
414,2 beds 1 bath apartment,1950,"peachland, bc, v0h 1x4",Apartment/Condo,2,1,in-unit laundry,radiator heating,parking available,Not specified,Not specified,dog and cat friendly,932
415,1 bed 1 bath house,850,"summerland, bc",House,1,1,laundry in building,Not specified,street parking,Not specified,unfurnished,No pets,1200
416,3 beds 3 baths house,3500,"kelowna, bc, v1w 2x3",House,3,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,2700
417,1 bed 1 bath apartment,1450,"north okanagan, bc, v1b 3h9",Apartment/Condo,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,cat friendly,1100
419,private room for rent,800,"penticton, bc, v2a 2n5",Apartment/Condo,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,cat friendly,932
420,1 bed 1 bath apartment,1000,"penticton, bc, v2a 5m6",Apartment/Condo,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,932
421,3 beds 1 bath house,2850,"lake country, bc",House,3,1,in-unit laundry,gas heating,street parking,Not specified,unfurnished,No pets,1200
422,3 beds 1 5 baths house,1700,"peachland, bc, v0h 1x8",House,3,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1100
423,private room for rent,1450,"kelowna, bc, v1y 5n7",Townhouse,3,2,in-unit laundry,Not specified,Not specified,central ac,unfurnished,dog and cat friendly,1371
424,1 bed 1 bath apartment,1200,"kelowna, bc, v1v 0a3",Apartment/Condo,1,1,in-unit laundry,heating available,garage parking,ac available,furnished,dog and cat friendly,932
425,4 beds 3 baths apartment,1050,"kelowna, bc, v1x 4e8",Apartment/Condo,4,3,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,932
426,3 beds 2 baths house,2350,"penticton, bc, v2a 2e6",House,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
427,4 beds 2 baths house,3500,"kelowna, bc, v1x 4e8",House,4,2,in-unit laundry,Not specified,parking available,Not specified,unfurnished,dog friendly,1200
428,3 beds 3 baths townhouse,2850,"vernon, bc",Townhouse,3,3,in-unit laundry,gas heating,street parking,central ac,unfurnished,dog and cat friendly,1371
429,3 beds 3 baths house,4800,"kelowna, bc, v1v",House,3,3,in-unit laundry,gas heating,garage parking,central ac,Not specified,No pets,3900
430,2 beds 2 baths house,2400,"penticton, bc",House,2,2,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,2200
431,2 beds 1 bath apartment,1600,"vernon, bc, v1t",Apartment/Condo,2,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,932
432,private room for rent,1100,"summerland, bc, v0h 1z9",Townhouse,3,2,Not specified,Not specified,parking available,central ac,furnished,No pets,1371
433,1 bed 1 bath basement,1650,"lake country, bc",House,1,1,laundry available,heating available,parking available,Not specified,unfurnished,No pets,1200
434,3 beds 1 bath house,2400,"vernon, bc",House,3,1,in-unit laundry,electric heating,parking available,central ac,unfurnished,dog friendly,1100
436,student rental  1 bd 1 bath private suite,990,"kelowna, bc, v1v 0b7",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
437,4 beds 2 baths house,2000,"north okanagan, bc",House,4,2,in-unit laundry,Not specified,street parking,Not specified,Not specified,cat friendly,2400
438,3 beds 2 5 baths house,3000,"west kelowna, bc, v4t 2s6",House,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
439,1 bed 1 bath room only,1150,"west kelowna, bc, v4t 1a3",House,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
440,5 beds 5 baths house,12785,"kelowna, bc, v1w 1s8",House,5,5,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,5309
441,4 beds 3 baths house,3600,"lake country, bc",House,4,3,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1200
442,commercial building for lease,2850,"west kelowna, bc, v4t 1n9",House,4,2,laundry in building,central heating,parking available,central ac,unfurnished,dog and cat friendly,3500
443,1 bed 1 bath house,1300,"penticton, bc",House,1,1,Not specified,central heating,street parking,central ac,unfurnished,No pets,750
444,3 beds 1 5 baths townhouse,2200,"okanagan-similkameen, bc, v0h 1r4",Townhouse,3,1,in-unit laundry,central heating,garage parking,Not specified,unfurnished,No pets,900
445,2 beds 1 bath house,1995,"vernon, bc, v1b 3w9",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
446,5 beds 3 baths house,3900,"vernon, bc, v1t",House,5,3,in-unit laundry,gas heating,garage parking,Not specified,unfurnished,dog and cat friendly,3700
447,1 bed 2 baths apartment,1100,"west kelowna, bc, v4t 1x5",Apartment/Condo,1,2,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,80
448,5 beds 3 baths house,3250,"central okanagan, bc, v0h",House,5,3,in-unit laundry,central heating,parking available,Not specified,Not specified,No pets,2200
449,3 beds 2 baths house,2100,"penticton, bc, v2a 6m6",House,3,2,in-unit laundry,central heating,parking available,Not specified,unfurnished,No pets,1925
450,4 beds 2 baths house,3600,"coldstream, bc",House,4,2,in-unit laundry,central heating,garage parking,ac available,unfurnished,dog and cat friendly,1200
451,3 beds 2 5 baths townhouse,5082,"kelowna, bc",Townhouse,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1371
452,2 beds 1 bath house,2000,"penticton, bc, v2a 4z8",House,2,1,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1200
453,2 200 mo 3 bed 1 5 bath townhouse in ok falls  walking distance to the beach and grocery store,2200,"okanagan-similkameen, bc, v0h",Townhouse,3,1,in-unit laundry,central heating,garage parking,Not specified,unfurnished,dog and cat friendly,1500
454,studio 0 baths house,500,"summerland, bc",House,1,0,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
455,3 beds 2 5 baths townhouse,3000,"west kelowna, bc",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1935
456,3 beds 1 bath house,2250,"vernon, bc, v1t 6y8",House,3,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,dog and cat friendly,1100
457,monthly rental nov april 2023,2000,"penticton, bc",Townhouse,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,600
458,4 beds 2 baths house,3650,"north okanagan, bc, v1h",House,4,2,in-unit laundry,gas heating,garage parking,central ac,Not specified,No pets,2450
459,3 beds 3 baths house,3000,"spallumcheen, bc, v0e 1b5",House,3,3,in-unit laundry,Not specified,garage parking,Not specified,Not specified,dog and cat friendly,1200
460,4 beds 3 baths house,3400,"west kelowna, bc",House,4,3,in-unit laundry,electric heating,garage parking,Not specified,Not specified,dog and cat friendly,2108
461,3 beds 2 baths townhouse,2550,"penticton, bc",Townhouse,3,2,Not specified,heating available,parking available,Not specified,unfurnished,No pets,1500
462,3 beds 2 5 baths house,2850,"penticton, bc",House,3,2,laundry in building,gas heating,parking available,ac available,unfurnished,No pets,1200
463,house for rent  south bx,2500,"vernon, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
464,house for rent in south bx,2500,"vernon, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
465,studio 0 baths house,1700,"kelowna, bc",House,1,0,Not specified,heating available,street parking,Not specified,unfurnished,No pets,2000
467,2 beds 1 bath apartment,2500,"penticton, bc",Apartment/Condo,2,1,laundry in building,central heating,street parking,central ac,unfurnished,No pets,3500
468,house for rent oliver,2500,"penticton, bc",House,4,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
469,private room for rent,1000,"vernon, bc",House,4,1,in-unit laundry,central heating,parking available,Not specified,unfurnished,dog and cat friendly,1200
470,private room for rent,850,"kelowna, bc",Townhouse,3,3,in-unit laundry,electric heating,street parking,central ac,furnished,No pets,1371
471,2 beds 1 bath apartment,900,"kelowna, bc, v1v",Apartment/Condo,2,1,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,932
472,veda lakeview sublet,1225,"kelowna, bc, v1v 3e4",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
473,studio 1 bath apartment,1600,"penticton, bc, v2a 1b8",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,cat friendly,450
474,2 beds 1 bath house,2000,"penticton, bc",House,2,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,861
475,1 bed 1 bath house,800,"kelowna, bc, v1y 3w1",House,1,1,laundry in building,central heating,parking available,Not specified,unfurnished,No pets,200
476,4 beds 2 baths house,3400,"kelowna, bc, v1w 1b8",House,4,2,Not specified,Not specified,Not specified,Not specified,Not specified,dog and cat friendly,1200
477,private room for rent,1300,"penticton, bc",House,4,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
478,3 beds 2 baths house,3600,"kelowna, bc, v1p 1s6",House,3,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1500
479,2 beds 1 bath house,1950,"penticton, bc, v2a 6v9",House,2,1,in-unit laundry,heating available,garage parking,Not specified,Not specified,cat friendly,1200
480,3 beds 3 baths apartment,1200,"kelowna, bc",Apartment/Condo,3,3,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,932
481,5 beds 2 baths house,3700,"north okanagan, bc",House,5,2,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200
482,2 beds 1 bath house,1850,"kelowna, bc, v1x 1s2",House,2,1,Not specified,central heating,Not specified,central ac,unfurnished,No pets,1200
483,3 beds 2 baths house,2950,"lake country, bc",House,3,2,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1500
484,1 bed 1 bath house,700,"kelowna, bc",House,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,1200
485,studio 0 baths house,650,"kelowna, bc",House,1,0,Not specified,Not specified,street parking,Not specified,Not specified,dog and cat friendly,180
486,sitara on the pond,2000,"lake country, bc, v4v 2p2",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,950
487,2 beds 2 baths apartment,2400,"lake country, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1160
488,2 beds 1 bath house,2100,"kelowna, bc",House,2,1,in-unit laundry,central heating,Not specified,central ac,unfurnished,No pets,1200
489,2 beds 1 bath house,2000,"kelowna, bc, v1v",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
490,2 beds 1 bath house,1900,"coldstream, bc",House,2,1,in-unit laundry,gas heating,parking available,Not specified,unfurnished,No pets,1200
491,3 beds 2 5 baths townhouse,1100,"kelowna, bc, v1v 0e8",Townhouse,3,2,in-unit laundry,heating available,street parking,ac available,unfurnished,No pets,1371
492,private room for rent,800,"west kelowna, bc",House,4,2,laundry available,Not specified,parking available,Not specified,unfurnished,No pets,1200
493,1 bed 1 bath flat,1400,"vernon, bc, v1b 3m1",Apartment/Condo,1,1,in-unit laundry,Not specified,street parking,Not specified,Not specified,No pets,932
494,1 bed 1 bath house,1100,"kelowna, bc, v1x 4e5",House,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,1200
495,3 beds 1 bath townhouse,2000,"penticton, bc, v2a 6t6",Townhouse,3,1,in-unit laundry,central heating,street parking,ac available,unfurnished,No pets,1371
496,6 beds 2 baths house,7500,"west kelowna, bc",House,6,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1200
497,2 beds 1 bath apartment,1200,"okanagan-similkameen, bc, v0h",Apartment/Condo,2,1,laundry in building,electric heating,parking available,ac available,Not specified,dog and cat friendly,800
498,3 beds 2 baths townhouse,2400,"penticton, bc, v2a 6y3",Townhouse,3,2,in-unit laundry,Not specified,parking available,Not specified,Not specified,dog and cat friendly,990
499,2 beds 2 baths apartment,2300,"kelowna, bc, v1w 3w2",Apartment/Condo,2,2,in-unit laundry,heating available,street parking,ac available,Not specified,No pets,932
500,2 beds 1 bath house,1750,"kelowna, bc",House,2,1,in-unit laundry,gas heating,street parking,Not specified,unfurnished,dog and cat friendly,1200
501,1 bed 1 bath house,850,"kelowna, bc, v1w 1e6",House,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,1650
502,2 beds 2 baths apartment,1800,"okanagan-similkameen, bc, v0h 1r4",Apartment/Condo,2,2,in-unit laundry,electric heating,street parking,ac available,unfurnished,cat friendly,990
503,2 bed room basement unit for rent in glenmore,1875,"kelowna, bc, v1v 1r9",House,2,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,1200
504,1 bed 1 bath in rutland,900,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1100
505,3 bedroom 1 bathroom,2600,"kelowna, bc",House,3,1,in-unit laundry,central heating,parking available,central ac,unfurnished,dog and cat friendly,1000
506,4 beds 2 baths apartment,3200,"lake country, bc, v4v 1y1",Apartment/Condo,4,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
507,1 bed 1 bath apartment,1200,"kelowna, bc, v1v",Apartment/Condo,1,1,in-unit laundry,heating available,street parking,ac available,Not specified,dog and cat friendly,932
508,4 beds 3 baths house,7500,"kelowna, bc, v1y 5r4",House,4,3,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog friendly,3000
510,3 beds 1 bath house,2700,"vernon, bc",House,3,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
